Code,Barcode,Description,Product Weight,Price/Unit,Price/Case,"Unit  
Quantity",Supervison
750-671,647297431829,Instant Belgian Waffle Mix,16oz,$4.25,$51.00,12 Unit,B.A.H.
750-561,647297431805,Malabi Mix,4.0oz,$1.75,$42.00,24 Unit,B.A.H.
750-811,651536956011,Instant Sahlab Mix,4.6oz,$2.75,$33.00,12 Unit,B.A.H.
750-692,647297431867,Instant Pudding French  Vanilla,3oz,$2.00,$24.00,12 Unit,B.A.H.
750-693,647297431850,Instant Pudding Dulce de  Leche,3oz,$2.00,$24.00,12 Unit,B.A.H.
750-695,647297431874,Instant Pudding Bittersweet,3oz,$2.00,$24.00,12 Unit,B.A.H.
750-696,647297431843,Instant Pudding Vanilla & Chocolate Chips,3oz,$2.00,$24.00,12 Unit,B.A.H.
750-697,,Hazelnut Pudding,3oz,$2.00,$24.00,12 Unit,B.A.H.
750-701,,Crème Patissiere,3oz,$2.00,$24.00,12 Unit,B.A.H.
750-711,651536949549,Strawberry Instant Jelly,3oz,$1.50,$18.00,12 Unit,B.A.H.
750-713,651536949556,Pineapple Instant Jelly,3oz,$1.50,$18.00,12 Unit,B.A.H.
750-714,651536949563,Apricot Instant Jelly,3oz,$1.50,$18.00,12 Unit,B.A.H.
750-715,651536949532,Raspberry Instant Jelly,3oz,$1.50,$18.00,12 Unit,B.A.H.
750-721,651536949464,Chocolita Mix,7oz,$3.75,$45.00,12 Unit,B.A.H.
750-724,651536949457,Peach Tea Mix,7oz,$4.00,$48.00,12 Unit,B.A.H.
750-722,651536949440,Ice Coffee Mix,7oz,$4.00,$48.00,12 Unit,B.A.H.
750-656,651536949471,Cocoa Powder Mix,5.3oz,$4.00,$48.00,12 Unit,B.A.H.
750-655,651536949488,Baking Choco Mix,7oz,$3.75,$45.00,12 Unit,B.A.H.
750-729,651536949495,Coffee Creamer Mix,7oz,$3.50,$42.00,12 Unit,B.A.H.
300-681,651536951474,Chocolate Cake,17oz,$6.25,$31.25,5Unit,B.A.H
300-682,651536951450,"Chocolate & Halva  
Cake",17oz,$6.25,$31.25,5Unit,B.A.H
300-683,651536951481,Chocolate & Hazelnut  Cake,17oz,$6.25,$31.25,5Unit,B.A.H
300-684,651536951436,Chocolate & Almonds  Cake,17oz,$6.25,$31.25,5Unit,B.A.H
300-685,651536951443,Poppy Seed Cake,17oz,$6.25,$31.25,5Unit,B.A.H
300-686,615136951467,"Cinnamon & Raisin  
Cake",17oz,$6.25,$31.25,5Unit,B.A.H
300-601,644287992599,Moroccan Cookies,350g,$4.00,$48.00,12 Unit,B.A.H
300-603,644287992629,"Rife Moroccan  
cookies",350g,$4.00,$48.00,12 Unit,B.A.H
300-606,644287992681,"Mini Moroccan 
Cookies",350g,$4.00,$48.00,12 Unit,B.A.H
300-611,644287992643,Salted Mini Bagels  (Mini Kaak),350g,$4.00,$48.00,12Unit,B.A.H
300-612,644287992711,"Salted Sesame  
Sticks",350g,$4.00,$48.00,12 Unit,B.A.H
300-614,644287992636,Strawberry Crown  Cookies,350g,$4.00,$48.00,12 Unit,B.A.H
300-615,644287992605,Halva Cookies,350g,$4.00,$48.00,12 Unit,B.A.H
300-618,644287992674,"Cinnamon Bow  
Tie Cookies",350g,$4.00,$48.00,12 Unit,B.A.H
300-619,64487992667,Chocolate Bow Tie  Cookies,350g,$4.00,$48.00,12 Unit,B.A.H
300-621,644287992643,"Mamoul Date  
Cookies",350g,$4.00,$48.00,12 Unit,B.A.H
300-625,644287992650,Peanut Strudel,350g,$4.00,$48.00,12 Unit,B.A.H
300-626,644287992698,Palmier Cookies,350g,$4.00,$48.00,12 Unit,B.A.H
300-627,644287992704,Chocolate Palmier,350g,$4.00,$48.00,12 Unit,B.A.H
300-608,651536949129,"Mini Bagels with  Black Cumin  
(Mini Kaak)",12.3oz,$4.00,$48.00,12 Unit,
300-609,651536949167* *,"Whole Wheat Mini  Bagels  
(Mini Kaak)",12.3oz,$4.00,$48.00,12 Unit,
300-631,644287992735,"Sugar Free  
Moroccan Cookies",350g,$4.50,$54.00,12 Unit,B.A.H
300-632,644287992896,Sugar Free Sesame  Cookies,350g,$4.50,$54.00,12 Unit,B.A.H
300-633,644287992933,Sugar Free Mini  Moroccan Cookies,350g,$4.50,$54.00,12 Unit,B.A.H
300-634,644287992926,"S.F Strawberry  
Crown Cookies",350g,$4.50,$54.00,12 Unit,B.A.H
300-635,644287992902,"S.F Sandwich  
Chocolate Cookies",350g,$4.50,$54.00,12 Unit,B.A.H
300-636,644287992919,"S.F Sandwich  
Strawberry  
Cookies",350g,$4.50,$54.00,12 Unit,B.A.H
300-639,6515369949150 **,Oriel- Sugar Free  Palmiers Cookies,12.3 oz,$4.25,$51.00,12 Unit,
300-638,651536949136* *,"Oriel Sugar Free  Greiba Almond  
Cookies",12.3oz,$4.25,$51.00,12 Unit,
300-641,651536949143* *,Oriel- Sugar Free  Date Swirl,12.3oz,$4.50,$54.00,12 Unit,
310-302,647297432000,Candied Roasted  Sesame,8.8 oz,$3.50,$42.00,12 Unit,B.A.H.
310-303,647297431980,Candied Roasted  Peanuts,8.8 oz,$3.50,$42.00,12 Unit,B.A.H.
310-304,647297431980,Candied Roasted  Mix nuts,8.8 oz,3.75,$45.00,12 Unit,B.A.H.
310-307,647297431997,Roasted Cranberry  & Granola,8.8 oz,$3.50,$45.00,12 Unit,B.A.H.
300-655,651536952709,"Chocolate  
Rugelach",16oz,$5.00,$60.00,12 Unit,B.A.H
300-656,651536952716,"Cinnamon  
Rugelach",16oz,$5.00,$60.00,12 Unit,B.A.H
300-657,651536952693,"Coconut &  
Chocolate  
Rugelach",16oz,$5.00,$60.00,12 Unit,B.A.H
300-661,644287992759,Chocolate Babka,"17.6 
oz",$5.00,$60.00,12 Unit,B.A.H
300-662,644287992742,Cinnamon Babka,500g,$5.00,$60.00,12 Unit,B.A.H
300-663,,Chocolate Crunch,,$5.00,$60.00,12 Unit,
300-664,,Cinnamon Crunch,,$5.00,$60.00,12 Unit,
300-659,651536949037,"Yerushalmi  
chocolateRugelach",16oz,$5.00,$60.00,12 Unit,B.A.H
300-671,651536949044,Poppyseed Roll,17oz,$5.00,$60.00,12 Unit,B.A.H
300-672,651536949068,Chocolate shneik,16oz,$5.00,$60.00,12 Unit,B.A.H
300-667,651536949051,Rugulada,"12.3 
oz",$6.00,$72.00,12 Unit,B.A.H
300-691,651536949068,"PREMIUM  
HONEY CAKE",17oz,$6.25,$31.25,5 Unit,
300-693,651536949044,"PREMIUM  
HONEY APPLE  CAKE",17oz,$6.25,$31.25,5 Unit,
300-694,651536949051,"PREMIUM  
HONEY  
ALMOND CAKE",17oz,$6.25,$31.25,5 Unit,
300-698,651536951122,HONEY CAKE,17oz,$5.00,$60.00,12 Unit,
310-801,651536950217,"Oriel Vanilla  
Crembo",12x8pk,$11.00,$132.00,12 Unit,
310-802,,"Oriel Caramel  
Crembo",12x8pk,$11.00,$132.00,12 Unit,
310-803,,"Oriel Banana  
Crembo",12x8pk,$11.00,$132.00,12 Unit,
310-811,651536950187,Oriel Sweet Vanilla  Crembo,20x25g,$16.00,$160.00,10 Unit,B.A.H.
310-812,651536950194,Oriel Sweet Mocha  Crembo,20x25g,$16.00,$160.00,10 Unit,B.A.H.
310-813,651536950200,Oriel Sweet Banana  Crembo,20x25g,$16.00,$160.00,10 Unit,B.A.H.
310-815,651536950248,"Oriel Sweet  
Strawberry Crembo",20x25g,$16.00,$160.00,10 Unit,B.A.H.
